parents_id,num_campaigns,frst_startdate,num_startdate,parentcampaignname,campaignname,startdate,enddate,meeting,event,anchor,campus,gnep,hazelwood,hill,homewood,olli,oakland,resp_connect,volunteer,firsttime,frst_inquiry,frst_outreach,followup_mtg,reoccurring,repeat,community_mtg,standalone,scheduling,concerns,other,internal,organization,resident,student,economic,education,healthcare,soc_community,neighborhood,sdoh_othr,eventduration,totalattendees,dayspast
3,1,23663,23663,2025 Summer Program,10.14.2024 Science Center x Pitt Connection,10/14/2024,10/14/2024,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
3,2,23663,23715,2025 Summer Program,12.5.2024 Science Center x Pitt Connection,12/5/2024,12/5/2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,52
11,1,23712,23712,Allegheny County Health Department (ACHD),Meeting - ACHD Public Board Meetings,12/2/2024,12/2/2024,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
21,2,23594,23594,Beam Ceremony,8.6.24 Beam Ceremony Walk Through,8/6/2024,8/6/2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
21,3,23594,23594,Beam Ceremony,8.6.24 BioForge Beam Ceremony,8/6/2024,8/6/2024,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
21,4,23594,23597,Beam Ceremony,8.9.24 Beam Ceremony Comms Plan,8/9/2024,8/9/2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3
21,5,23594,23608,Beam Ceremony,8.20.24 BioForge Beam Ceremony,8/20/2024,8/20/2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,14
21,6,23594,23615,Beam Ceremony,8.27.24 BioForge Beam Ceremony,8/27/2024,8/27/2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,21
21,7,23594,23622,Beam Ceremony,9.3.24 BioForge Beam Ceremony,9/3/2024,9/3/2024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,28
29,1,23615,23615,CEC - August Wilson African American Cultural Center (AWAACC),8.27.24 STEAM Community Day,8/27/2024,8/27/2024,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0
