"First Time Inquiries/Outreach, July-December 2025",Days since initial meeting
2025 Summer Program,52
10.14.2024 Science Center x Pitt Connection,0
12.5.2024 Science Center x Pitt Connection,52
Allegheny County Health Department (ACHD),0
Meeting - ACHD Public Board Meetings,0
Beam Ceremony,28
8.6.24 Beam Ceremony Walk Through,0
8.6.24 BioForge Beam Ceremony,0
8.9.24 Beam Ceremony Comms Plan,3
8.20.24 BioForge Beam Ceremony,14
8.27.24 BioForge Beam Ceremony,21
9.3.24 BioForge Beam Ceremony,28
Campus Protest Community Engagement Support Intake,0
Sustainability Planning for STEM through Game Design Intake,0
Carnegie Reclassification Committee,21
Carnegie Reclassification Expenditures data review mtg - 10/23/2024,0
Carnegie Follow Up Mtg: ECA + UCM,21
CEC - August Wilson African American Cultural Center (AWAACC),0
8.27.24 STEAM Community Day,0
CEC - College in High School,0
9.19.24 College in High School - Life Sciences Pathway,0
CEC - Department of Africana Studies,0
Meeting to discuss Communiversity Course - 9/3/24,0
CEC - Department of Psychology,55
Health Inequities,0
9.16.24 Youth Research Advisory Board Overview,55
Center for Urban Education (CUE),0
Meeting re: Programming in WHSD,0
CES/DEI T&P Workshop Planning,69
Planning Session - 9/26/24,0
Planning - 11/13/24,48
CES/DEI Informational Workshop,69
Christmas Day at Pitt (CDAP),34
CDAP Meeting w/ Fraternity & Sorority Life - 11/7/24,0
University Relations Wrapping Party Planning Meeting - 11/15/24,8
CDAP Pitt News Interview - 11/25/24,18
Christmas Day at Pitt Planning Meeting - 12/3/23,26
Christmas Day at Pitt Shadyside Academy Interview - 12/11/24,34
Communiversity: Intermediate Nonfiction,85
Communiversity course at the Hill CEC,0
Communiversity | Creative Nonfiction 9-10-24,22
Communiversity | Creative Nonfiction 9-17-24,29
Communiversity | Creative Nonfiction 9-24-24,36
Communiversity | Creative Nonfiction 10-1-24,43
Communiversity | Creative Nonfiction 10-8-24,50
Communiversity | Creative Nonfiction 10-22-24,64
Communiversity | Creative Nonfiction 10-29-24,71
Communiversity | Creative Nonfiction 11-12-24,85
Councilmember Bob Charland,0
Oakland Community Affairs Meeting w/ Bob Charland,0
Department of Epidemiology,0
Tour and Presentation of Homewood CEC,0
Dual Enrollment Pilot Study,77
Dual Enrollment Consult - 10/3/24,0
Dual Enrollment meeting - 10/24/24,21
Dual Enrollment meeting - 12/19/24,77
Economic Impact Report,20
Economic Impact Report refresh - 9/4/2024,0
EIR and Anchor meeting - 9/24/2024,20
HQ: Business and Operations,0
Data Consistency Working Group - 11/18/2024,0
HQ: David C. Frederick Honors College,0
Honors College and SWPA Hub 11/6/24,0
HQ: Office of Risk Management,0
Enterprise Risk Management Meeting - 10/10/24,0
HQ: Office of Sustainability,44
Plastic Free Week Planning Meeting - 9/4/24,0
Campus Tree Walk - Fall 2024 - 10/18/24,44
HQ: Office of the Chancellor,25
Site Visit to Greater Pittsburgh Community Foodbank,0
Freespeech.pitt.edu 9/19/24,24
ECA & ACE Fellow Nukhet Sandal,25
HQ: Pitt Research,27
Research Concierge Orientation,0
APLU Humanities Arts and Social Sciences Presentation,27
"HQ: Planning, Design, and Construction",36
Central Oakland Demolition Strategy 9/3/24,0
Sennott Square Labor Concerns,29
Sennott Square Labor Concerns Follow Up 10/7/24,34
Sennott Square Labor Concerns Mtng with OPDC 10/9/24,36
HQ: Provost Office,0
Funding Students for Engagement,0
HQ: School of Public Health,51
Intro with CHE Director Chapple-Mcgruder,0
Public Health Practice Showcase,51
HQ: Schools of Health Sciences,0
"Intro Meeting with Sylk Sotto - August 22, 2024",0
HQ: Student Affairs,52
Consulting on PittServes Future Directions - 10/4/24,0
Meeting w/ Lorraine Craven - 10/9/24,5
AVP/DOS Committee Pool Presentation,7
Event Support Team Training - 10/14/24,10
Meeting w/ Off-Campus Student Services - 10/16/24,12
